target,text
0,"I hate waiting in traffic, such a bad day!"
4,"Just got a promotion at work, feeling great!"
2,"It's raining today, nothing much happening."
0,"The new movie was terrible, wasted my time."
4,"I love the new cafe downtown, amazing coffee!"
2,"Waiting for the bus, it might arrive soon."
0,"Feeling sick today, not going to work."
4,Had a wonderful dinner with friends!
2,"Normal day, nothing exciting happened."
4,"Excited for the weekend, going hiking!"
0,"The food was awful, will never go there again."
4,"My team won the match, so happy!"
2,Just an ordinary day at home.
0,Frustrated with customer service today.
4,"Enjoyed the new book I bought, excellent read!"
